Study_ID,Short_ID,Short_ID,Short_Description,Study_Description,Subject_Count,Status,Study_Type,Intervention_Type,Age_Lower_Limit,Units_for_Age_Lo,Age_Upper_Limit,Units_for_Age_Up,Country,Population,Anthropometric_Data,included,included_anthropometry,included_longitudinal,included_low_income,included_small,included_age,included_ill,included_qc,included_measurement_freq
MICS-AFG-2010,,,MICS Afghanistan 2010-11,"MICS Afghanistan 2010-11, survey",37373,MPC,Survey,,,,,,AFG,,Yes,0,1,0,1,1,0,1,1,
MICS-AGO-2001,,,MICS Angola 2001,"MICS Angola 2001, survey",12753,MPC,Survey,,,,,,AGO,,Yes,0,1,0,1,1,0,1,1,
DHS-BDI-1987,,,DHS Burundi 1987,"DHS Burundi 1987, survey",7781,MPC,Survey,,,,,,BDI,,Yes,0,1,0,1,1,0,1,1,
DHS-BDI-2010,,,DHS Burundi 2010,"DHS Burundi 2010, survey",17131,MPC,Survey,,,,,,BDI,,Yes,0,1,0,1,1,0,1,1,
MICS-BDI-2000,,,MICS Burundi 2000,"MICS Burundi 2000, survey",8015,MPC,Survey,,,,,,BDI,,Yes,0,1,0,1,1,0,1,1,
MICS-BDI-2005,,,MICS Burundi 2005,"MICS Burundi 2005, survey",16548,MPC,Survey,,,,,,BDI,,Yes,0,1,0,1,1,0,1,1,
DHS-BFA-1993,,,DHS Burkina Faso 1993,"DHS Burkina Faso 1993, survey",12182,MPC,Survey,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
DHS-BFA-1998,,,DHS Burkina Faso 1998,"DHS Burkina Faso 1998, survey",12398,MPC,Survey,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
DHS-BFA-2003,,,DHS Burkina Faso 2003,"DHS Burkina Faso 2003, survey",23122,MPC,Survey,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
DHS-BFA-2010,,,DHS Burkina Faso 2010,"DHS Burkina Faso 2010, survey",32131,MPC,Survey,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
IPUMS-BFA-1985,,,IPUMS-International Burkina Faso 1985,"IPUMS-International Burkina Faso 1985, census",884797,MPC,Census,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
IPUMS-BFA-1996,,,IPUMS-International Burkina Faso 1996,"IPUMS-International Burkina Faso 1996, census",1081046,MPC,Census,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
IPUMS-BFA-2006,,,IPUMS-International Burkina Faso 2006,"IPUMS-International Burkina Faso 2006, census",1417824,MPC,Census,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
MICS-BFA-2006,,,MICS Burkina Faso 2006,"MICS Burkina Faso 2006, survey",13836,MPC,Survey,,,,,,BFA,,Yes,0,1,0,1,1,0,1,1,
Burkina Faso Zn,BFZn,bfzn,Zn Trial in Burkina Faso,"Effect of preventive and therapeutic zinc supplementation programs on nutritional status, growth, and morbidity among young children: a randomized, partially masked, community-based trial",7641,QC completed,Longitudinal,Nutritional,6,Months,7,Months,BFA,"Children who are not severely malnourished, anemic, or acutely or chronically ill","Ht, Wt, MUAC at Baseline, Wk 16, Wk 32 and Wk 48",1,1,1,1,1,1,1,1,0
iLiNS-Zinc,LNSZ,lnsz,iLiNS-Zinc Study,"Effect of small-quantity Lipid-based Nutrient Supplements on growth, stunting, and wasting in young children: cluster-randomized trial",3266,QC completed,Longitudinal,Nutritional,9,Months,18,Months,BFA,Rural infants,"Len, Wt, HCIR, MUAC at 9, 12, 15 months and other follow up visits. Body composition.",1,1,1,1,1,1,1,1,1
DHS-BGD-1997,,,DHS Bangladesh 1997,"DHS Bangladesh 1997, survey",15316,MPC,Survey,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
DHS-BGD-2000,,,DHS Bangladesh 2000,"DHS Bangladesh 2000, survey",17376,MPC,Survey,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
DHS-BGD-2004,,,DHS Bangladesh 2004,"DHS Bangladesh 2004, survey",18348,MPC,Survey,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
DHS-BGD-2007,,,DHS Bangladesh 2007,"DHS Bangladesh 2007, survey",17146,MPC,Survey,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
DHS-BGD-2011,,,DHS Bangladesh 2011,"DHS Bangladesh 2011, survey",26595,MPC,Survey,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
IPUMS-BGD-1991,,,IPUMS-International Bangladesh 1991,"IPUMS-International Bangladesh 1991, census",10580904,MPC,Census,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
IPUMS-BGD-2001,,,IPUMS-International Bangladesh 2001,"IPUMS-International Bangladesh 2001, census",12442115,MPC,Census,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
IPUMS-BGD-2011,,,IPUMS-International Bangladesh 2011,"IPUMS-International Bangladesh 2011, census",7205720,MPC,Census,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
MICS-BGD-2006,,,MICS Bangladesh 2006,"MICS Bangladesh 2006, survey",101426,MPC,Survey,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
MICS-BGD-2012,,,MICS Bangladesh 2012-13,"MICS Bangladesh 2012-13, survey",83001,MPC,Survey,,,,,,BGD,,Yes,0,1,0,1,1,0,1,1,
Bangladesh Diarrhea,BngD,bngd,Longitudinal Growth Study,"Longitudinal study of growth, infectious disease, diarrhea, and nutrition in children",197,QC completed,Longitudinal,No Intervention,2,Months,48,Months,BGD,Rural infants,"Ht, Wt,  MUAC, TSFT monthly for about 14 months",0,1,1,1,0,1,1,1,
Bangladesh Rice,BngR,bngr,Dietary Survey in Bangladeshi Children,Cross-sectional dietary survey in children aged 24-48 mo,548,QC completed,Cross Sectional,No Intervention,24,Months,48,Months,BGD,Rural children aged 2-4 y,Ht & Wt of child &  primary caregiver (cross-sectional),0,1,0,1,1,0,1,1,
JiVitA-3,JVt3,jvt3,JiVitA-3 Study,Impact of antenatal multiple micronutrient supplementation on infant mortality,28511,QC completed,Longitudinal,Nutritional,-20,Weeks,-30,Weeks,BGD,Pregnant women and their infant children,"Len, Wt, MUAC, BIA at birth, 1M, 3M, 6M, 12M and 24M.",1,1,1,1,1,0,1,1,1
JiVitA-4,JVt4,jvt4,JiVitA-4 Study,Effect of fortified complementary food supplementation on child growth in rural Bangladesh: a cluster-randomized trial,5449,QC completed,Longitudinal,Nutritional,0,Months,6,Months,BGD,Infants aged 0-6 mo,"Every 3 months from 6 to 18 months, BIA in a subset",1,1,1,1,1,1,1,1,1
MatlabD,MTLD,mtld,Matlab Deliveries,"Birth cohort of children delivered at Matlab Hospital, Dhaka",2734,QC completed,Cross Sectional,No Intervention,0,Days,0,Days,BGD,Expectant mothers admitted for delivery at Matlab Hospital,"Ht, Wt at birth, and for mother",0,0,0,1,1,0,1,1,
MatlabKMC,MKMC,mkmc,Matlab KMC,"Birth cohort of neonates undergoing a kangaroo mother care intervention at Matlab Hospital, Dhaka",430,QC completed,Cross Sectional,No Intervention,0,Days,0,Days,BGD,Neonates with gestational age < 37 wk or birth weight < 2000 g,"Ht, Wt, OFC and chest circum at birth and/or hospital admission",0,1,0,1,1,1,1,1,
MatlabN,MTLN,mtln,Matlab Neonates,"Cohort of neonates with complications admitted to Matlab Hospital, Dhaka",1523,QC completed,Cross Sectional,No Intervention,0,Days,0,Days,BGD,Neonates with complications admitted to Matlab Hospital,"Ht, Wt, OFC and chest circum at birth and/or hospital admission",0,1,0,1,1,1,1,1,
NIH-Birth,NBrt,nbrt,NIH Birth Cohort Study,"Children at birth in Mirpur neighborhood, Dhaka",629,QC completed,Longitudinal,No Intervention,0,Days,15,Days,BGD,Birth cohort,Ht & Wt collected q3 months for 5 years,1,1,1,1,1,1,1,1,1
NIH-Crypto,NCry,ncry,NIH Cryptosporidium Cohort Study,Natural history of Cryptosporidiosis in slum-dwelling children: association with severe malnutrition,760,QC completed,Longitudinal,No Intervention,0,Days,7,Days,BGD,Slum-dwelling newborns in Mirpur and Mirzapur,"Length, Wt and MUAC quarterly through age 4",1,1,1,1,1,1,1,1,1
NIH-Preschool,NPre,npre,NIH Preschool Cohort Study,Case control study of blood antilectin immunoglobulin G in children aged 2-5 and 7-9 years,529,QC completed,Longitudinal,No Intervention,2,Years,9,Years,BGD,Preschool cohort,Ht & Wt collected 2-3 times per week for 5-10 years,0,1,1,1,1,0,1,1,
PROVIDE,PRVD,prvd,PROVIDE Study,Performance of Rotavirus and Oral Polio Vaccines in Developing Countries,700,QC completed,Longitudinal,Vaccine,0,Days,7,Days,BGD,Birth cohort,"Ht & Wt is collected ~16 times during the first 2 years of life, then less frequently through age 5",1,1,1,1,1,1,1,1,1
WASH-Bangladesh,WSB,wsb,WASH Benefits Bangladesh Trial,"Cluster-randomised controlled trials of individual and combined water, sanitation, hygiene, and nutritional interventions",10858,QC completed,Longitudinal,"WASH, Nutrition",-6,Months,-3,Months,BGD,Rural children,"LT, WT, HCIR from birth to 2 years",1,1,1,1,1,0,1,1,0
MAL-ED,MLEX,mlex,MAL-ED Study,Global study of enteropathy and its effects on anthropometry from birth through age 2 years,2145,QC completed,Longitudinal,No Intervention,0,Days,17,Days,"BGD, BRA, IND, NPL, PER, PAK, ZAF, TZA",Multinational birth cohort,"LT, WT, HCIR from birth to 2 years. 5 year follow up data.",1,1,1,1,1,1,1,1,1
ANISA,ANSA,ansa,ANISA,Aetiology of Neonatal Infection in South Asia,73635,QC completed,Longitudinal,No Intervention,1,Days,60,Days,"BGD, IND, PAK",Community-based birth cohort,None,0,0,1,1,1,1,1,1,
GordonTwin,GTwn,gtwn,Birth cohort study of twins,"Birth cohort study of twins measuring anthropometry, micobiology, and associated symptoms",69,QC completed,Cross Sectional,No Intervention,0,Months,0,Months,"BGD, MWI",Multiple birth children recruited from populations where childhood malnutrition is prevalent,Z-scores for height and weight,0,1,0,1,0,1,1,1,
AMANHI,AMNI,amni,AMANHI,"Using ongoing newborn intervention trials to obtain additional data critical to maternal, fetal and newborn health in a harmonized way",11357,QC completed,Longitudinal,No Intervention,-32,Weeks,-20,Weeks,"BGD, PAK, TZA, ZMB, GHA",Pregnant women enrolled from 8 to lt 20wk gestation and their newborn child,"Ultrasound at 24-28 weeks gestation, then birth anthropometry",0,1,1,1,1,0,1,1,
PROBIT,PRBT,prbt,PROBIT Study,Promotion of Breast Feeding Interventional Trial,17046,QC completed,Longitudinal,Nutritional,0,Days,0,Days,BLR,Children,"WT, LT, HCIR, Body Composition",1,1,1,1,1,1,1,1,1
Maya Belize,MBLZ,mblz,Maya Children in Belize,Growth status of school-aged Maya children,360,QC completed,Cross Sectional,No Intervention,5,Years,15,Years,BLZ,"School-aged children in San Antonio village, Toledo district","Ht, Wt, MUAC",0,1,0,1,1,0,1,1,
INTERBIO-21,IB21,ib21,INTERBIO-21,Functional classification of abnormal fetal and neonatal growth phenotypes,2846,QC completed,Longitudinal,No Intervention,-190,Days,-203,Days,"BRA, GBR, KEN, PAK, THA, ZAF",Pregnant women of varied risk profiles,"Yes, including ultrasound",0,1,1,0,1,0,1,1,
COHORTS,CORT,cort,COHORTS,Consortium of Health-Orientated Research in Transitioning Societies,22188,QC completed,Longitudinal,No Intervention,0,Days,0,Days,"BRA, GTM, IND, PHL, ZAF","5 birth cohort studies from Brazil (1982), Guatemala (1969), India (1969), Philippines (1983), South Africa (1990)","Wt, Len/Ht, TSFT and SSFT captured with varying frequency at multiple ages",1,1,1,1,1,1,1,1,1
BIGCS Ultrasound,BIGU,bigu,Born in Guangzhou Cohort Study - Ultrasound Subset,Born in Guangzhou Cohort Study: ultrasonography and longitudinal growth data,3423,QC completed,Longitudinal,No Intervention,-26,Weeks,0,Days,CHN,"Birth cohort, Guangzhou province","Ultrasound, then Ht, Wt & HeadCir at birth & post-natal",0,1,1,1,1,1,1,1,
CLR-China,CLRC,clrc,Cognitive Learning in Rural China,Cognitive learning in rural China,18888,QC completed,Cross Sectional,No Intervention,9,Years,11,Years,CHN,Primary-school-aged rural children,None,0,0,0,1,1,0,1,1,
ChinaEMI,CEMI,cemi,SMS Advice Program in Rural China,Effect on maternal and newborn health of a text message advice program for pregnant women,1952,QC completed,Cross Sectional,Educational,-30,Weeks,-13,Weeks,CHN,Rural pregnant women,Birth weight & length only,0,1,0,1,1,0,1,1,
Gansu,GNSU,gnsu,Gansu Survey of 4th Grade Students,"Student physical health, mental health, and education outcomes in Gansu Province",2686,QC completed,Cross Sectional,No Intervention,8,Years,10,Years,CHN,Grade 4 students in Gansu Province,"Ht, Wt",0,1,0,1,1,0,1,1,
Guangzhou Singleton,BIGS,bigs,Births in Guangzhou - Singletons,Birth records for singleton births in Guangzhou,438439,QC completed,Cross Sectional,No Intervention,0,Days,0,Days,CHN,Singleton births in Guangzhou,"Ht, Wt Hcir at birth",0,1,0,1,1,1,1,1,
Guangzhou Twin,BIGT,bigt,Births in Guangzhou - Twins,Birth records for twin births in Guangzhou,40849,QC completed,Cross Sectional,No Intervention,0,Days,0,Days,CHN,Twin births in Guangzhou,"Ht, Wt Hcir at birth",0,1,0,1,1,1,1,1,
GuizhouHelminth,GZHH,gzhh,Guizhou Intestinal Worm & Child Outcomes,"Intestinal worm infections, child health, and educational outcomes in Guizhou province",2246,QC completed,Cross Sectional,No Intervention,9,Years,11,Years,CHN,School-aged children (9-11 y) in Guizhou province,"HAZ, WAZ, BMI",0,1,0,1,1,0,1,1,
MHRC,MHRC,mhrc,Mental Health in Rural China,Mental Health in Rural China: comparisons of provinces and subgroups of children and adolescents,54498,QC completed,Cross Sectional,No Intervention,8,Years,13,Years,CHN,School-aged children in grades 4-8 in rural areas of 5 provinces,None,0,0,0,1,1,0,1,1,
ShaanxiCogHgb,SHCH,shch,Relationship between hemoglobin and cognition among children in rural China,Relation between hemoglobin and cognition in rural children,3841,QC completed,Cross Sectional,No Intervention,8,Years,10,Years,CHN,Fourth grade students in Shaanxi province,Ht & Wt,0,1,0,1,1,0,1,1,
DHS-CIV-1994,,,DHS Cote d'Ivoire 1994,"DHS Cote d'Ivoire 1994, survey",12097,MPC,Survey,,,,,,CIV,,Yes,0,1,0,1,1,0,1,1,
DHS-CIV-1998,,,DHS Cote d'Ivoire 1998,"DHS Cote d'Ivoire 1998, survey",5032,MPC,Survey,,,,,,CIV,,Yes,0,1,0,1,1,0,1,1,
DHS-CIV-2011,,,DHS Cote d'Ivoire 2011,"DHS Cote d'Ivoire 2011, survey",17836,MPC,Survey,,,,,,CIV,,Yes,0,1,0,1,1,0,1,1,
MICS-CIV-2000,,,MICS Cote d'Ivoire 2000,"MICS Cote d'Ivoire 2000, survey",19402,MPC,Survey,,,,,,CIV,,Yes,0,1,0,1,1,0,1,1,
MICS-CIV-2006,,,MICS Cote d'Ivoire 2006,"MICS Cote d'Ivoire 2006, survey",21492,MPC,Survey,,,,,,CIV,,Yes,0,1,0,1,1,0,1,1,
DHS-CMR-1991,,,DHS Cameroon 1991,"DHS Cameroon 1991, survey",7221,MPC,Survey,,,,,,CMR,,Yes,0,1,0,1,1,0,1,1,
DHS-CMR-1998,,,DHS Cameroon 1998,"DHS Cameroon 1998, survey",7818,MPC,Survey,,,,,,CMR,,Yes,0,1,0,1,1,0,1,1,
DHS-CMR-2004,,,DHS Cameroon 2004,"DHS Cameroon 2004, survey",18781,MPC,Survey,,,,,,CMR,,Yes,0,1,0,1,1,0,1,1,
DHS-CMR-2011,,,DHS Cameroon 2011,"DHS Cameroon 2011, survey",27158,MPC,Survey,,,,,,CMR,,Yes,0,1,0,1,1,0,1,1,
IPUMS-CMR-1976,,,IPUMS-International Cameroon 1976,"IPUMS-International Cameroon 1976, census",736514,MPC,Census,,,,,,CMR,,Yes,0,1,0,1,1,0,1,1,
IPUMS-CMR-1987,,,IPUMS-International Cameroon 1987,"IPUMS-International Cameroon 1987, census",897211,MPC,Census,,,,,,CMR,,Yes,0,1,0,1,1,0,1,1,
IPUMS-CMR-2005,,,IPUMS-International Cameroon 2005,"IPUMS-International Cameroon 2005, census",1772359,MPC,Census,,,,,,CMR,,Yes,0,1,0,1,1,0,1,1,
MICS-CMR-2000,,,MICS Cameroon 2000,"MICS Cameroon 2000, survey",8650,MPC,Survey,,,,,,CMR,,Yes,0,1,0,1,1,0,1,1,
MICS-CMR-2006,,,MICS Cameroon 2006,"MICS Cameroon 2006, survey",15903,MPC,Survey,,,,,,CMR,,Yes,0,1,0,1,1,0,1,1,
DHS-COD-2007,,,DHS Congo DR 2007,"DHS Congo DR 2007, survey",18987,MPC,Survey,,,,,,COD,,Yes,0,1,0,1,1,0,1,1,
DHS-COD-2013,,,DHS Congo DR 2013,"DHS Congo DR 2013, survey",37543,MPC,Survey,,,,,,COD,,Yes,0,1,0,1,1,0,1,1,
MICS-COD-2001,,,MICS Congo DR 2001,"MICS Congo DR 2001, survey",22663,MPC,Survey,,,,,,COD,,Yes,0,1,0,1,1,0,1,1,
MICS-COD-2010,,,MICS Congo DR 2010,"MICS Congo DR 2010, survey",24480,MPC,Survey,,,,,,COD,,Yes,0,1,0,1,1,0,1,1,
WomenFirst,WFrst,wfrst,Women First,Preconception Women First Trial,2668,QC completed,Longitudinal,Nutritional,-1,Years,-1,Years,"COD, GTM, IND, PAK",Women 16-35 y of age; parity 0-5; expectation to have first or additional pregnancy within next 2 y and without intent to utilize contraception; became pregnant no sooner than 3 months from randomization,"Ht, Wt",0,1,1,1,1,0,1,1,
Ecuador Egg,EEgg,eegg,Ecuador Egg Trial,Randomized controlled trial of eggs as complementary feeding of infants,160,QC completed,Longitudinal,Nutritional,6,Months,9,Months,ECU,Rural infants aged 6 to 9 mo beginning complementary feeding,Ht/Len at study entry and 6 months later,0,1,1,1,0,1,1,1,
Ecuador Zn,EcZn,eczn,Ecuador Zn Trial,"Dose-response trial of prophylactic zinc supplements, with or without copper, in young children at risk of zinc deficiency",646,QC completed,Longitudinal,Nutritional,12,Months,30,Months,ECU,Children with HAZ < -1.3,Wt and Ht every 1-3 months for 1 year,0,1,1,1,1,1,1,1,
DHS-EGY-1988,,,DHS Egypt 1988,"DHS Egypt 1988, survey",17558,MPC,Survey,,,,,,EGY,,Yes,0,1,0,1,1,0,1,1,
DHS-EGY-1992,,,DHS Egypt 1992,"DHS Egypt 1992, survey",18628,MPC,Survey,,,,,,EGY,,Yes,0,1,0,1,1,0,1,1,
DHS-EGY-1995,,,DHS Egypt 1995,"DHS Egypt 1995, survey",26914,MPC,Survey,,,,,,EGY,,Yes,0,1,0,1,1,0,1,1,
DHS-EGY-2000,,,DHS Egypt 2000,"DHS Egypt 2000, survey",27040,MPC,Survey,,,,,,EGY,,Yes,0,1,0,1,1,0,1,1,
DHS-EGY-2005,,,DHS Egypt 2005,"DHS Egypt 2005, survey",33325,MPC,Survey,,,,,,EGY,,Yes,0,1,0,1,1,0,1,1,
DHS-EGY-2008,,,DHS Egypt 2008,"DHS Egypt 2008, survey",27399,MPC,Survey,,,,,,EGY,,Yes,0,1,0,1,1,0,1,1,
DHS-EGY-2014,,,DHS Egypt 2014,"DHS Egypt 2014, survey",37610,MPC,Survey,,,,,,EGY,,Yes,0,1,0,1,1,0,1,1,
IPUMS-EGY-1996,,,IPUMS-International Egypt 1996,"IPUMS-International Egypt 1996, census",5902243,MPC,Census,,,,,,EGY,,Yes,0,1,0,1,1,0,1,1,
IPUMS-EGY-2006,,,IPUMS-International Egypt 2006,"IPUMS-International Egypt 2006, census",7282434,MPC,Census,,,,,,EGY,,Yes,0,1,0,1,1,0,1,1,
MICS-EGY-2013,,,MICS Egypt 2013-14,"MICS Egypt 2013-14, survey",10937,MPC,Survey,,,,,,EGY,,Yes,0,1,0,1,1,0,1,1,
DHS-ETH-2000,,,DHS Ethiopia 2000,"DHS Ethiopia 2000, survey",26240,MPC,Survey,,,,,,ETH,,Yes,0,1,0,1,1,0,1,1,
DHS-ETH-2005,,,DHS Ethiopia 2005,"DHS Ethiopia 2005, survey",23931,MPC,Survey,,,,,,ETH,,Yes,0,1,0,1,1,0,1,1,
DHS-ETH-2011,,,DHS Ethiopia 2011,"DHS Ethiopia 2011, survey",28169,MPC,Survey,,,,,,ETH,,Yes,0,1,0,1,1,0,1,1,
IPUMS-ETH-1984,,,IPUMS-International Ethiopia 1984,"IPUMS-International Ethiopia 1984, census",3404306,MPC,Census,,,,,,ETH,,Yes,0,1,0,1,1,0,1,1,
IPUMS-ETH-1994,,,IPUMS-International Ethiopia 1994,"IPUMS-International Ethiopia 1994, census",5044598,MPC,Census,,,,,,ETH,,Yes,0,1,0,1,1,0,1,1,
IPUMS-ETH-2007,,,IPUMS-International Ethiopia 2007,"IPUMS-International Ethiopia 2007, census",7434086,MPC,Census,,,,,,ETH,,Yes,0,1,0,1,1,0,1,1,
DHS-GHA-1988,,,DHS Ghana 1988,"DHS Ghana 1988, survey",8624,MPC,Survey,,,,,,GHA,,Yes,0,1,0,1,1,0,1,1,
DHS-GHA-1993,,,DHS Ghana 1993,"DHS Ghana 1993, survey",6766,MPC,Survey,,,,,,GHA,,Yes,0,1,0,1,1,0,1,1,
DHS-GHA-1998,,,DHS Ghana 1998,"DHS Ghana 1998, survey",8141,MPC,Survey,,,,,,GHA,,Yes,0,1,0,1,1,0,1,1,
DHS-GHA-2003,,,DHS Ghana 2003,"DHS Ghana 2003, survey",9535,MPC,Survey,,,,,,GHA,,Yes,0,1,0,1,1,0,1,1,
DHS-GHA-2008,,,DHS Ghana 2008,"DHS Ghana 2008, survey",7908,MPC,Survey,,,,,,GHA,,Yes,0,1,0,1,1,0,1,1,
DHS-GHA-2014,,,DHS Ghana 2014,"DHS Ghana 2014, survey",15280,MPC,Survey,,,,,,GHA,,Yes,0,1,0,1,1,0,1,1,
IPUMS-GHA-1984,,,IPUMS-International Ghana 1984,"IPUMS-International Ghana 1984, census",1309352,MPC,Census,,,,,,GHA,,Yes,0,1,0,1,1,0,1,1,
IPUMS-GHA-2000,,,IPUMS-International Ghana 2000,"IPUMS-International Ghana 2000, census",1894133,MPC,Census,,,,,,GHA,,Yes,0,1,0,1,1,0,1,1,
IPUMS-GHA-2010,,,IPUMS-International Ghana 2010,"IPUMS-International Ghana 2010, census",2466289,MPC,Census,,,,,,GHA,,Yes,0,1,0,1,1,0,1,1,
MICS-GHA-2006,,,MICS Ghana 2006,"MICS Ghana 2006, survey",9785,MPC,Survey,,,,,,GHA,,Yes,0,1,0,1,1,0,1,1,
MICS-GHA-2010,,,MICS Ghana 2010-2011,"MICS Ghana 2010-2011, survey",1747,MPC,Survey,,,,,,GHA,,Yes,0,1,0,1,1,0,1,1,
MICS-GHA-2011,,,MICS Ghana 2011,"MICS Ghana 2011, survey",18177,MPC,Survey,,,,,,GHA,,Yes,0,1,0,1,1,0,1,1,
GEMS-1,GEMS,gems,GEMS-1 Study,Global Enteric Multicenter Study: case-control study at 7 sites in Africa and Asia,22567,QC completed,Cross Sectional,No Intervention,0,Months,59,Months,"GMB, MLI, MOZ, KEN, IND, BGD, PAK","Children with diarrheal disease and age- and sex-matched controls, aged < 5 y","Ht, Wt & MUAC at enrollemt and 60-days post",0,1,0,1,1,1,0,1,
GEMS-1A,GMSA,gmsa,GEMS-1A Study,Global Enteric Multicenter Study: case-control study at 7 sites in Africa and Asia,14242,QC completed,Cross Sectional,No Intervention,0,Months,59,Months,"GMB, MLI, MOZ, KEN, IND, BGD, PAK","Children with diarrheal disease and age- and sex-matched controls, aged < 5 y","Ht, Wt & MUAC at enrollemt and 60-days post",0,1,0,1,1,1,0,1,
DHS-GTM-1987,,,DHS Guatemala 1987,"DHS Guatemala 1987, survey",9787,MPC,Survey,,,,,,GTM,,Yes,0,1,0,1,1,0,1,1,
DHS-GTM-1995,,,DHS Guatemala 1995,"DHS Guatemala 1995, survey",22355,MPC,Survey,,,,,,GTM,,Yes,0,1,0,1,1,0,1,1,
Guatemala BSC,GBSC,gbsc,Longitudinal study of BSC in Guatemala,"Effects of bovine serum concentrate and supplemental micronutrients on growth, morbidity, and micronutrient status of young children in a low-income, periurban community",315,QC completed,Longitudinal,Nutritional,6,Months,7,Months,GTM,Low-income periurban children aged 6-7 mo,"Ht, Wt, MUAC monthly for 8 months",1,1,1,1,1,1,1,1,1
UVG Growth,GuaL,gual,Univ del Valle de Guatemala Longitudinal Study,"Longitudinal study of growth, cognition, and bone formation in school-aged children in various socioeconomic groups",40787,QC completed,Longitudinal,No Intervention,3,Years,18,Years,GTM,School-aged children from various socioeconomic and ethnic groups,"Ht, Wt, MUAC, SSSFT, TSFT and bone maturity in a subset",0,1,1,1,1,0,1,1,
DHS-IDN-1987,,,DHS Indonesia 1987,"DHS Indonesia 1987, survey",20024,MPC,Survey,,,,,,IDN,,Yes,0,1,0,1,1,0,1,1,
DHS-IDN-1991,,,DHS Indonesia 1991,"DHS Indonesia 1991, survey",38617,MPC,Survey,,,,,,IDN,,Yes,0,1,0,1,1,0,1,1,
DHS-IDN-1994,,,DHS Indonesia 1994,"DHS Indonesia 1994, survey",46364,MPC,Survey,,,,,,IDN,,Yes,0,1,0,1,1,0,1,1,
DHS-IDN-1997,,,DHS Indonesia 1997,"DHS Indonesia 1997, survey",46254,MPC,Survey,,,,,,IDN,,Yes,0,1,0,1,1,0,1,1,
DHS-IDN-2002,,,DHS Indonesia 2002,"DHS Indonesia 2002, survey",45689,MPC,Survey,,,,,,IDN,,Yes,0,1,0,1,1,0,1,1,
DHS-IDN-2007,,,DHS Indonesia 2007,"DHS Indonesia 2007, survey",50329,MPC,Survey,,,,,,IDN,,Yes,0,1,0,1,1,0,1,1,
DHS-IDN-2012,,,DHS Indonesia 2012,"DHS Indonesia 2012, survey",63628,MPC,Survey,,,,,,IDN,,Yes,0,1,0,1,1,0,1,1,
IPUMS-IDN-1971,,,IPUMS-International Indonesia 1971,"IPUMS-International Indonesia 1971, census",634642,MPC,Census,,,,,,IDN,,Yes,0,1,0,1,1,0,1,1,
IPUMS-IDN-1976,,,IPUMS-International Indonesia 1976,"IPUMS-International Indonesia 1976, intercensal survey",281170,MPC,Survey,,,,,,IDN,,Yes,0,1,0,1,1,0,1,1,
IPUMS-IDN-1980,,,IPUMS-International Indonesia 1980,"IPUMS-International Indonesia 1980, census",7234577,MPC,Census,,,,,,IDN,,Yes,0,1,0,1,1,0,1,1,
IPUMS-IDN-1985,,,IPUMS-International Indonesia 1985,"IPUMS-International Indonesia 1985, intercensal survey",605858,MPC,Survey,,,,,,IDN,,Yes,0,1,0,1,1,0,1,1,
IPUMS-IDN-1990,,,IPUMS-International Indonesia 1990,"IPUMS-International Indonesia 1990, census",912544,MPC,Census,,,,,,IDN,,Yes,0,1,0,1,1,0,1,1,
IPUMS-IDN-1995,,,IPUMS-International Indonesia 1995,"IPUMS-International Indonesia 1995, intercensal survey",718837,MPC,Survey,,,,,,IDN,,Yes,0,1,0,1,1,0,1,1,
